obsID,birdID,date_time,latitude,longitude,speed
8936,167,13-Jul-09,53.4766458,6.223106,0.437835586
8937,167,13-Jul-09,53.476736,6.2229902,0.041231056
8938,167,13-Jul-09,53.4766606,6.2227483,0
8939,167,13-Jul-09,53.4766534,6.2226083,0.510881591
8940,167,13-Jul-09,53.4765012,6.2229304,0.158429795
8941,167,13-Jul-09,53.4764016,6.2237372,0.603821166
8942,167,13-Jul-09,53.4761828,6.2231516,0.286006993
8943,167,13-Jul-09,53.4765052,6.2229612,0.59674115
8944,167,13-Jul-09,53.4756147,6.2241579,0.399374511
8945,167,13-Jul-09,53.4766669,6.2228758,0.014142136
8946,167,13-Jul-09,53.4763748,6.2232709,0.11
8947,167,13-Jul-09,53.476517,6.2230013,0.017320508
8948,167,13-Jul-09,53.4764456,6.2230201,0.146969385
8949,167,13-Jul-09,53.4761271,6.2236843,0.969587541
8950,167,13-Jul-09,53.4763577,6.2234507,0.01
8951,167,13-Jul-09,53.4761584,6.2239872,0.182482876
8952,167,13-Jul-09,53.4768033,6.2233656,0.440227214
8953,167,13-Jul-09,53.4767778,6.2232488,0
8954,167,13-Jul-09,53.4767433,6.223293,0.121655251
8955,167,13-Jul-09,53.4766656,6.2233343,0.01
8956,167,13-Jul-09,53.4766571,6.2235281,0.307408523
8957,167,13-Jul-09,53.4767135,6.2232472,0.01
8958,167,13-Jul-09,53.4766849,6.2232622,0.014142136
8959,167,13-Jul-09,53.4766182,6.2233527,
8960,167,13-Jul-09,53.4766807,6.2233042,0.15132746
8961,167,13-Jul-09,53.4767169,6.2232494,0.09486833
8962,167,13-Jul-09,53.4767404,6.2232486,0.110905365
8963,167,13-Jul-09,53.4767444,6.2232249,0
8964,167,13-Jul-09,53.4776672,6.2282888,0.014142136
8965,167,13-Jul-09,53.4780525,6.2286741,0.014142136
8966,167,13-Jul-09,53.4780294,6.2292797,0.014142136
8967,167,13-Jul-09,53.4782473,6.2312014,0
8968,167,13-Jul-09,53.4780822,6.2304032,0
8969,167,13-Jul-09,53.4779847,6.2300723,0.277308492
8970,167,13-Jul-09,53.4767668,6.2232243,0.080622577
8971,167,13-Jul-09,53.476777,6.2232065,0.041231056
8972,167,13-Jul-09,53.476778,6.2232027,0.01
8973,167,13-Jul-09,53.4767756,6.2232199,0.204939015
8974,167,13-Jul-09,53.4767753,6.223186,0.196468827
8975,167,13-Jul-09,53.4767547,6.2232758,0.057445626
8976,167,13-Jul-09,53.476767,6.2231965,0.093808315
8977,167,13-Jul-09,53.4766977,6.2232223,0.303315018
8978,167,13-Jul-09,53.4766444,6.2232681,0.415451562
8979,167,13-Jul-09,53.476777,6.2232043,0.184661853
8980,167,13-Jul-09,53.4767348,6.2232573,0.128840987
8981,167,13-Jul-09,53.4762862,6.2232179,0.02236068
8982,167,13-Jul-09,53.476332,6.2232367,0.041231056
8983,167,13-Jul-09,53.4768412,6.2232201,0.081240384
8984,167,13-Jul-09,53.4761065,6.2231818,0.314642654
8985,167,13-Jul-09,53.4765031,6.2229188,0.372424489
8986,167,13-Jul-09,53.4762212,6.2231234,0.195448203
8987,167,13-Jul-09,53.4763339,6.2233236,0.094339811
8988,167,13-Jul-09,53.4763313,6.223329,0.09486833
8989,167,13-Jul-09,53.476328,6.2238314,0.600749532
8990,167,13-Jul-09,53.4763249,6.2231251,0.083066239
8991,167,13-Jul-09,53.4754873,6.2239951,0.094339811
8992,167,13-Jul-09,53.4755353,6.2241871,0.471062629
8993,167,13-Jul-09,53.4754508,6.2240159,0.017320508
8994,167,13-Jul-09,53.475462,6.224041,0.058309519
8995,167,13-Jul-09,53.4755091,6.2240126,0.140712473
8996,167,13-Jul-09,53.4757462,6.2241706,0.137477271
8997,167,13-Jul-09,53.4754225,6.2241883,0.054772256
8998,167,13-Jul-09,53.4755395,6.2236122,0.45
8999,167,13-Jul-09,53.4757832,6.2236493,1.215483443
9000,167,13-Jul-09,53.4753953,6.2241813,0.182208672
9001,167,13-Jul-09,53.4754732,6.2240015,0.348425028
9002,167,13-Jul-09,53.4758535,6.2240831,0.111803399
9003,167,13-Jul-09,53.4758489,6.2236382,1.211651765
9004,167,13-Jul-09,53.4763387,6.223625,0.080622577
9005,167,13-Jul-09,53.4764818,6.2235057,0.142478068
9006,167,13-Jul-09,53.4763829,6.223131,0.13114877
9007,167,13-Jul-09,53.4761585,6.2238278,0.354400903
9008,167,13-Jul-09,53.4763845,6.2238584,0.18627936
